,Description,Image_url
75,Linen suit trousers Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/ce/b7/ceb763dcaa8f87dd6156f59ecee58cb6af13f7d5.jpg],origin[dam],category[men_blazerssuits_trousers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
76,Cropped chinos Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/ea/cd/eacdfd6f47fc4aa408b70cd0f859eb7dd1b39892.jpg],origin[dam],category[men_trousers_chinos_slim_all],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
77,JoggersModel,"http://lp2.hm.com/hmgoepprod?set=source[/e7/1b/e71be44212c4f39fe2d5cbab3075c6f430fb2ee3.jpg],origin[dam],category[men_trousers_casual],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]"
78,Linen-blend trousersModel,"http://lp2.hm.com/hmgoepprod?set=source[/f0/9e/f09e0e86abc02af202ee1465c11bf691b8630f63.jpg],origin[dam],category[men_trousers_trousers_regular_all],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
79,Chinos Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/20/49/20498724f1001b8460b9aeb0de00f3bd8cf4941e.jpg],origin[dam],category[men_trousers_chinos_slim_all],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
80,Cropped Sweatpants Regular FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/0d/19/0d19f60d81a26cef81cb0d6ec245375c5a16e7bd.jpg],origin[dam],category[men_trousers_joggers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]"
81,Cotton chinos Skinny fitModel,"http://lp2.hm.com/hmgoepprod?set=source[/fb/3e/fb3e9bb7981bcd849f9e1540b8abacc7484df91b.jpg],origin[dam],category[men_trousers_chinos_skinny_all],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]"
82,Linen-blend trousersModel,"http://lp2.hm.com/hmgoepprod?set=source[/60/c9/60c94853d79527009a7a57fb2caacda9091ce899.jpg],origin[dam],category[men_trousers_casual],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
83,Cotton chinos Skinny fitModel,"http://lp2.hm.com/hmgoepprod?set=source[/df/96/df968cdba7109a92e4d908229d534ebef9f2fbbc.jpg],origin[dam],category[men_trousers_chinos_skinny_all],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
84,Joggers Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/13/21/132114ab578ac7b75e4f82afbbbb0caa550c4ea9.jpg],origin[dam],category[men_trousers_joggers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
85,Cargo joggers Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/0a/5d/0a5d40a08265e4545ab37ab6c6a643e07a91b738.jpg],origin[dam],category[men_trousers_cargo],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
86,Cotton cargo trousersModel,"http://lp2.hm.com/hmgoepprod?set=source[/67/9c/679c58d9e5e6e3f1a7c4e926dccb1466368a49ca.jpg],origin[dam],category[men_trousers_cargo],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
87,Brushed cotton twill joggersModel,"http://lp2.hm.com/hmgoepprod?set=source[/7b/93/7b936f6cbe1976134989f340a22f08d138009d18.jpg],origin[dam],category[men_trousers_joggers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]"
88,Linen-blend trousersModel,"http://lp2.hm.com/hmgoepprod?set=source[/7c/e5/7ce5a0b83bb9b32c161baa7e87505581d4231d64.jpg],origin[dam],category[men_trousers_casual],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
89,Twill trousers Skinny FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/40/fc/40fc37febb02a79e7362eaf42e1852b223f6eccf.jpg],origin[dam],category[men_trousers_trousers_skinny_all],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
90,Cotton cargo trousersModel,"http://lp2.hm.com/hmgoepprod?set=source[/b0/80/b0807516bb165f87ca6c240ce97277f8fe434c08.jpg],origin[dam],category[men_trousers_cargo],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
91,Cotton cargo trousersModel,"http://lp2.hm.com/hmgoepprod?set=source[/dc/0f/dc0fef58618b9e81b5beacd47fadc5a5f2e241fe.jpg],origin[dam],category[men_trousers_cargo],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
92,Linen suit trousers Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/40/26/4026c14ce4007f4603b59a029fa9edbea0c7c851.jpg],origin[dam],category[men_blazerssuits_trousers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
93,Twill trousers Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/81/f1/81f1a4b99edc161c9fd17b2b273a9710090bef49.jpg],origin[dam],category[men_trousers_trousers_slim_all],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
94,COOLMAX® joggersModel,"http://lp2.hm.com/hmgoepprod?set=source[/61/d5/61d558db1557f2d19de623b318092de6c686a81e.jpg],origin[dam],category[men_trousers_joggers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
95,Suit trousers Skinny FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/77/1e/771eb4b7600933edd46617c595d67394646eb141.jpg],origin[dam],category[men_trousers_dressed],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
96,Suit trousers Skinny FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/c0/07/c0070cb73dc8be9f973b365cd129d36f9c6cbad6.jpg],origin[dam],category[men_trousers_dressed],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
97,Low-crotch sweatpantsModel,"http://lp2.hm.com/hmgoepprod?set=source[/7a/fa/7afa9c07013d8c3e951acd6a33fd4b1921787703.jpg],origin[dam],category[men_trousers_casual],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
98,Cotton chinosModel,"http://lp2.hm.com/hmgoepprod?set=source[/93/c3/93c30a45d8a7b4e6a30ae105731d40800777da28.jpg],origin[dam],category[men_trousers_chinos],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
99,JoggersModel,"http://lp2.hm.com/hmgoepprod?set=source[/80/68/806818d7cdc47e37058b01883da5d67fc39c5ff8.jpg],origin[dam],category[men_trousers_joggers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
100,Suit trousers Skinny FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/ff/7a/ff7a2ccc0a8faa0cfd5411faa907398becdb587e.jpg],origin[dam],category[men_trousers_dressed],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
101,Sports joggersModel,"http://lp2.hm.com/hmgoepprod?set=source[/cb/3f/cb3faf1ce8dac3da7b40d73f23bf9287e660e95a.jpg],origin[dam],category[men_sport_bottoms],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
102,Linen-blend trousersModel,"http://lp2.hm.com/hmgoepprod?set=source[/1a/e6/1ae65ca0132aef225a6fa2d42b51c59bbbb66053.jpg],origin[dam],category[men_trousers_casual],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
103,JoggersModel,"http://lp2.hm.com/hmgoepprod?set=source[/2e/a1/2ea1d692745b99167f0440bff0cf566fe6fcc5c9.jpg],origin[dam],category[men_trousers_joggers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
104,Cotton chinosModel,"http://lp2.hm.com/hmgoepprod?set=source[/0a/1d/0a1d774b5679f750aac40414d74888fef91d5e2f.jpg],origin[dam],category[men_trousers_chinos],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
