,Description,Image_url
90,Printed T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/90/d9/90d9783f7e012565e3f898edab3c5ca6c36678ea.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
91,2-pack Henley shirtsModel,"http://lp2.hm.com/hmgoepprod?set=source[/8b/e0/8be0459ed6de50b2b98145872bfed0a192c5c7a3.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
92,Round-neck T-shirt Regular FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/8b/c2/8bc20cd94cf481d846655335c5e178c2d492bc58.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
93,COOLMAX® polo shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/7f/8d/7f8def22e038a101142712ebc32840c8dda7ea60.jpg],origin[dam],category[MEN_TSHIRTSTANKS_POLO],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
94,T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/9e/59/9e59517635892dd59c9b302e9070e0d9178f333b.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[2]&call=url[file:/product/style]"
95,3-pack T-shirts Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/0c/f6/0cf669ed0d9a37b5406be8ff41535b5895fb524e.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
96,Printed T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/2c/c2/2cc26f82386cf7d747f6dec6e6d297746b87a35a.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]"
97,V-neck T-shirt Regular FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/5f/68/5f687698f571bae0eea862c4c1acac3f2990021a.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
98,Sports top Loose FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/9b/f1/9bf1efd9fcbd06ff7287349182336cb707f79e05.jpg],origin[dam],category[men_sport_tops],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
99,Polo shirt Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/eb/b4/ebb47100fde5fc10bd735b7ad7fffcd898601652.jpg],origin[dam],category[MEN_TSHIRTSTANKS_POLO],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]"
